district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27
板橋區,房地(土地+建物),新北市板橋區三民路二段21巷61~90號,50,住,,,1080504,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,570220,92.4,4,2,2,有,無,11500000,124459,,0,0,頂樓增建,RPUOMLLKOHOFFAF48CA
板橋區,房地(土地+建物),新北市板橋區新海路385巷28弄1~30號,29.24,住,,,1080414,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,100.35,3,2,2,有,無,8600000,85700,,0,0,含增建或未登記建物。,RPPNMLMKOHOFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區華江一路151~180號,6.24,商,,,1080513,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227,97.84,2,2,1,有,有,12680000,129599,坡道平面,22.06,0,,RPQNMLMKOHOFFAF08CA
板橋區,房地(土地+建物),新北市板橋區裕民街94巷1弄1~30號,27,住,,,1080516,土地1建物1車位0,四層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,95.48,3,2,1,有,無,7800000,81693,,0,0,含增建或未登記建物。,RPOOMLMKOHOFFAF97CA
板橋區,房地(土地+建物),新北市板橋區縣民大道一段64巷1~30號,19.53,住,,,1080413,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820716,95.09,3,2,1,有,無,11780000,123883,,0,0,含增建或未登記建物。,RPPOMLMKOHOFFAF08CA
土城區,房地(土地+建物),新北市土城區福安街55巷3弄1~30號,16.4,住,,,1080505,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,830408,57.43,2,1,1,有,無,4580000,79749,,0,0,,RPTOMLMKOHOFFAF48CA
土城區,房地(土地+建物),新北市土城區中央路四段125巷61~90號,19.67,住,,,1070316,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071122,106.58,3,2,2,有,無,11730000,110058,,0,0,建商與地主合建案。;,RPVOMLMKOHOFFAF68CA
板橋區,房地(土地+建物),新北市板橋區篤行路三段31~60號,12.49,住,,,1080505,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880529,103.85,3,2,1,有,有,8230000,79249,,0,0,,RPSPMLMKOHOFFAF48CA
板橋區,房地(土地+建物),新北市板橋區中正路331~360號,8,住,,,1080502,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),住家用,加強磚造,650117,22.19,2,2,1,有,無,3800000,171248,,0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLMKOHOFFAF68CA
板橋區,房地(土地+建物),新北市板橋區中正路301~330號,15.01,住,,,1080606,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,670629,51.34,2,2,1,有,無,5000000,97390,,0,0,,RPVPMLNKOHOFFAF88CA
土城區,土地,清水段121~150地號,23.63,其他,,,1080521,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,3275118,138600,,0,0,包含公共設施保留地之交易。;,RPSNMLRKOHOFFAF78CA
板橋區,車位,新北市板橋區合宜路1~30號,0.66,住,,,1080517,土地0建物0車位1,,,其他,,,,31.65,0,0,0,有,有,1460000,,坡道平面,31.65,1460000,向政府機關承購之案件。;單獨車位交易。;,RPQQMLRKOHOFFAF88CA
板橋區,車位,新北市板橋區合宜路1~30號,0.66,住,,,1080508,土地0建物0車位1,,,其他,,,,31.65,0,0,0,有,有,1380000,,坡道平面,31.65,1380000,向政府機關承購之案件。;單獨車位交易。;,RPRQMLRKOHOFFAF98CA
板橋區,車位,新北市板橋區合安一路1~30號,0.18,住,,,1080507,土地0建物0車位1,,,其他,,,,31.97,0,0,0,有,有,1460000,,坡道平面,31.97,1460000,向政府機關承購之案件。;單獨車位交易。;,RPUQMLRKOHOFFAF66CA
板橋區,房地(土地+建物),新北市板橋區長江路二段31~60號,2.13,住,,,1080504,土地1建物1車位0,八層,二十六層,套房(1房1廳1衛),住家用,鋼筋混凝土造,870622,36.34,1,1,1,有,有,4950000,136214,,0,0,,RPSRMLTKOHOFFAF76CA
土城區,房地(土地+建物)+車位,新北市土城區中央路三段181~210號,32.41,工,,,1080428,土地1建物1車位2,三層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,980604,161.1,2,1,1,有,有,10600000,65798,坡道平面,28.02,0,,RPSOMLKLOHOFFAF28CA
板橋區,房地(土地+建物),新北市板橋區雙十路二段70巷1~30號,25.75,住,,,1080504,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,79.8,3,2,2,有,無,9250000,115915,,0,0,含增建或未登記建物。;,RPQSMLKLOHOFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區長江路二段151~180號,32.07,住,,,1080316,土地1建物1車位2,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990115,276.64,4,2,3,有,有,33000000,119289,坡道平面,54.74,0,,RPPQMLQLOHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區北門街1~30號,8.45,商,,,1080321,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071015,94.81,2,2,1,有,有,17260000,182048,,0,0,,RPRSMLMJPHOFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區北門街1~30號,14.23,商,,,1080401,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071015,193.97,3,2,2,有,有,29380000,181940,坡道平面,44.58,2200000,土地交易總價含車位:1728萬元；建物交易總價含車位:1210萬元,RPSSMLMJPHOFFAF78CA
板橋區,房地(土地+建物),新北市板橋區北門街1~30號,9.44,商,,,1080321,土地1建物1車位0,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071015,108.29,3,2,1,有,有,19700000,181919,,0,0,,RPUSMLMJPHOFFAF98CA
板橋區,房地(土地+建物)+車位,新北市板橋區北門街1~30號,14.23,商,,,1080326,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071015,193.97,3,2,2,有,有,29360000,181137,坡道平面,44.58,2300000,2人共有；土地交易總價含車位:1727萬元；建物交易總價含車位:1209萬元,RPVSMLMJPHOFFAF09CA
